"order_id";"order_date";"ship_date";"ship_mode";"customer_id";"product_id";"country";"region";"sales";"quantity";"discount";"profit";"unit_price";"profit_margin"
"CA-2016-152156";"2016-11-08";"2016-11-11";"Second Class";"CG-12520";"FUR-BO-10001798";"United States";"South";262.0;2.0;0.0;42.0;131.0;16.03
"CA-2016-152156";"2016-11-08";"2016-11-11";"Second Class";"CG-12520";"FUR-CH-10000454";"United States";"South";732.0;3.0;0.0;220.0;244.0;30.05
"CA-2016-138688";"2016-06-12";"2016-06-16";"Second Class";"DV-13045";"OFF-LA-10000240";"United States";"West";15.0;2.0;0.0;7.0;7.5;46.67
"US-2015-108966";"2015-10-11";"2015-10-18";"Standard Class";"SO-20335";"FUR-TA-10000577";"United States";"South";958.0;5.0;0.0;-383.0;191.6;-39.98
"US-2015-108966";"2015-10-11";"2015-10-18";"Standard Class";"SO-20335";"OFF-ST-10000760";"United States";"South";22.0;2.0;0.0;3.0;11.0;13.64
"CA-2014-115812";"2014-06-09";"2014-06-14";"Standard Class";"BH-11710";"FUR-FU-10001487";"United States";"West";49.0;7.0;0.0;14.0;7.0;28.57
"CA-2014-115812";"2014-06-09";"2014-06-14";"Standard Class";"BH-11710";"OFF-AR-10002833";"United States";"West";7.0;4.0;0.0;2.0;1.75;28.57
"CA-2014-115812";"2014-06-09";"2014-06-14";"Standard Class";"BH-11710";"TEC-PH-10002275";"United States";"West";907.0;6.0;0.0;91.0;151.17;10.03
"CA-2014-115812";"2014-06-09";"2014-06-14";"Standard Class";"BH-11710";"OFF-BI-10003910";"United States";"West";19.0;3.0;0.0;6.0;6.33;31.58
"CA-2014-115812";"2014-06-09";"2014-06-14";"Standard Class";"BH-11710";"OFF-AP-10002892";"United States";"West";115.0;5.0;0.0;34.0;23.0;29.57
"CA-2014-115812";"2014-06-09";"2014-06-14";"Standard Class";"BH-11710";"FUR-TA-10001539";"United States";"West";1706.0;9.0;0.0;85.0;189.56;4.98
"CA-2014-115812";"2014-06-09";"2014-06-14";"Standard Class";"BH-11710";"TEC-PH-10002033";"United States";"West";911.0;4.0;0.0;68.0;227.75;7.46
"CA-2017-114412";"2017-04-15";"2017-04-20";"Standard Class";"AA-10480";"OFF-PA-10002365";"United States";"South";16.0;3.0;0.0;5.0;5.33;31.25
"CA-2016-161389";"2016-12-05";"2016-12-10";"Standard Class";"IM-15070";"OFF-BI-10003656";"United States";"West";408.0;3.0;0.0;133.0;136.0;32.6
"US-2015-118983";"2015-11-22";"2015-11-26";"Standard Class";"HP-14815";"OFF-AP-10002311";"United States";"Central";69.0;5.0;1.0;-124.0;13.8;-179.71
"US-2015-118983";"2015-11-22";"2015-11-26";"Standard Class";"HP-14815";"OFF-BI-10000756";"United States";"Central";3.0;3.0;1.0;-4.0;1.0;-133.33
"CA-2014-105893";"2014-11-11";"2014-11-18";"Standard Class";"PK-19075";"OFF-ST-10004186";"United States";"Central";666.0;6.0;0.0;13.0;111.0;1.95
"CA-2014-167164";"2014-05-13";"2014-05-15";"Second Class";"AG-10270";"OFF-ST-10000107";"United States";"West";56.0;2.0;0.0;10.0;28.0;17.86
"CA-2014-143336";"2014-08-27";"2014-09-01";"Second Class";"ZD-21925";"OFF-AR-10003056";"United States";"West";9.0;2.0;0.0;2.0;4.5;22.22
"CA-2014-143336";"2014-08-27";"2014-09-01";"Second Class";"ZD-21925";"TEC-PH-10001949";"United States";"West";213.0;3.0;0.0;16.0;71.0;7.51
"CA-2014-143336";"2014-08-27";"2014-09-01";"Second Class";"ZD-21925";"OFF-BI-10002215";"United States";"West";23.0;4.0;0.0;7.0;5.75;30.43
"CA-2016-137330";"2016-12-09";"2016-12-13";"Standard Class";"KB-16585";"OFF-AR-10000246";"United States";"Central";19.0;7.0;0.0;5.0;2.71;26.32
"CA-2016-137330";"2016-12-09";"2016-12-13";"Standard Class";"KB-16585";"OFF-AP-10001492";"United States";"Central";60.0;7.0;0.0;16.0;8.57;26.67
"US-2017-156909";"2017-07-16";"2017-07-18";"Second Class";"SF-20065";"FUR-CH-10002774";"United States";"East";71.0;2.0;0.0;-1.0;35.5;-1.41
"CA-2015-106320";"2015-09-25";"2015-09-30";"Standard Class";"EB-13870";"FUR-TA-10000577";"United States";"West";1045.0;3.0;0.0;240.0;348.33;22.97
"CA-2016-121755";"2016-01-16";"2016-01-20";"Second Class";"EH-13945";"OFF-BI-10001634";"United States";"West";12.0;2.0;0.0;4.0;6.0;33.33
